num,neighborhood,poverty_rate,avg_family_income
36,Garfield Heights,45,45220
28,Anacostia,44,34195
29,Kenilworth,41,42821
37,Barry Farm,41,38015
38,Shipley Terrace,38,38427
39,Bellevue,36,41605
31,Deanwood,34,51670
27,Navy Yard,34,77952
30,Mayfair,32,37659
23,Ivy City,32,48388
5,Foggy Bottom,29,211064
8,Downtown,26,142881
32,Fort DuPont,24,57825
22,Brookland,23,81931
33,Capitol View,22,53239
34,Fairlawn,21,70274
9,Southwest,19,94339
35,Naylor Gardens,17,72747
21,Edgewood,17,91520
2,Columbia Heights,17,87204
3,Shaw,17,101583
19,Lamond Riggs,14,75912
18,Petworth,14,88437
25,Kingman Park,14,129089
17,Takoma,13,81956
24,Woodridge,13,97305
6,DuPont Circle,13,177893
7,Logan Circle,12,123697
4,Georgetown,11,304995
20,Michigan Park,11,87062
15,Cleveland Park,8.9,291000
12,Van Ness,8.7,217847
13,Palisades,8.3,297054
14,Glover Park,7.9,157349
26,South Capitol Hill,6,186314
11,Friendship Heights,5.8,215289
1,Adams Morgan,5.6,162891
16,Shepherd Park,3.8,180800
10,Chevy Chase,3.7,254541
